Time [s],CAN_RX_ECU,CAN_RX_LSM,CAN_TX_ECU,CAN_TX_LSM
1.052244524,1,1,1,1
1.052245306,1,1,0,1
1.052245416,0,1,0,1
1.052246034,0,0,0,1
1.052246536,0,1,0,1
1.052246800,0,1,1,1
1.052246930,1,1,1,1
1.052247004,1,0,1,1
1.052247530,1,1,1,1
1.052247998,1,0,1,1
1.052248306,1,0,0,1
1.052248416,0,0,0,1
1.052248800,0,0,1,1
1.052248930,1,0,1,1
1.052249546,1,1,1,1
1.052250306,1,1,0,1
1.052250416,0,1,0,1
1.052251108,0,0,0,1
1.052251610,0,1,0,1
1.052251800,0,1,1,1
1.052251930,1,1,1,1
1.052252078,1,0,1,1
1.052253102,1,1,1,1
1.052253306,1,1,0,1
1.052253416,0,1,0,1
1.052253594,0,0,0,1
1.052253800,0,0,1,1
1.052253930,1,0,1,1
1.052254306,1,0,0,1
1.052254416,0,0,0,1
1.052254620,0,1,0,1
1.052254800,0,1,1,1
1.052254930,1,1,1,1
1.052255306,1,1,0,1
1.052255416,0,1,0,1
1.052256132,0,0,0,1
1.052256634,0,1,0,1
1.052256800,0,1,1,1
1.052256932,1,1,1,1
1.052258096,1,0,1,1
1.052258308,1,0,0,1
1.052258416,0,0,0,1
1.052258800,0,0,1,1
1.052258932,1,0,1,1
1.052259308,1,0,0,1
1.052259416,0,0,0,1
1.052259642,0,1,0,1
1.052260300,0,1,1,1
1.052260432,1,1,1,1
1.052260808,1,1,0,1
1.052260916,0,1,0,1
1.052261800,0,1,1,1
1.052261932,1,1,1,1
1.052263308,1,1,0,1
1.052263418,0,1,0,1
1.052263800,0,1,1,1
1.052263932,1,1,1,1
1.052265308,1,1,0,1
1.052265418,0,1,0,1
1.052266800,0,1,1,1
1.052266932,1,1,1,1
1.052390402,0,1,1,1
1.052390916,1,1,1,1
1.052391402,0,1,1,1
1.052391916,1,1,1,1
1.052392402,0,1,1,1
1.052392916,1,1,1,1
1.052393402,0,1,1,1
1.052393916,1,1,1,1
1.052394402,0,1,1,1
1.052394916,1,1,1,1
1.052395402,0,1,1,1
1.052395916,1,1,1,1
1.052396402,0,1,1,1
1.052397400,0,1,1,0
1.052397498,0,0,1,0
1.052397890,0,0,1,1
1.052397916,1,0,1,1
1.052398028,1,1,1,1
1.052398400,1,1,1,0
1.052398498,1,0,1,0
1.052398890,1,0,1,1
1.052398902,0,0,1,1
1.052399028,0,1,1,1
1.052399400,0,1,1,0
1.052399416,1,1,1,0
1.052399498,1,0,1,0
1.052399890,1,0,1,1
1.052400028,1,1,1,1
1.052400400,1,1,1,0
1.052400402,0,1,1,0
1.052400498,0,0,1,0
1.052400890,0,0,1,1
1.052400916,1,0,1,1
1.052401028,1,1,1,1
1.052401400,1,1,1,0
1.052401498,1,0,1,0
1.052401890,1,0,1,1
1.052402030,1,1,1,1
1.052402400,1,1,1,0
1.052402498,1,0,1,0
1.052402890,1,0,1,1
1.052403030,1,1,1,1
1.052403400,1,1,1,0
1.052403498,1,0,1,0
1.052403902,0,0,1,0
1.052404890,0,0,1,1
1.052404916,1,0,1,1
1.052405030,1,1,1,1
1.052405402,0,1,1,1
1.052405900,0,1,1,0
1.052405916,1,1,1,0
1.052405998,1,0,1,0
1.052406390,1,0,1,1
1.052406530,1,1,1,1
1.052406902,0,1,1,1
1.052407400,0,1,1,0
1.052407416,1,1,1,0
1.052407498,1,0,1,0
1.052407890,1,0,1,1
1.052407902,0,0,1,1
1.052408030,0,1,1,1
1.052408416,1,1,1,1
1.052408902,0,1,1,1
1.052409916,1,1,1,1
1.052410402,0,1,1,1
1.052410900,0,1,1,0
1.052411000,0,0,1,0
1.052411890,0,0,1,1
1.052412030,0,1,1,1
1.052412400,0,1,1,0
1.052412500,0,0,1,0
1.052412890,0,0,1,1
1.052413030,0,1,1,1
1.052413900,0,1,1,0
1.052413916,1,1,1,0
1.052414000,1,0,1,0
1.052414390,1,0,1,1
1.052414402,0,0,1,1
1.052414530,0,1,1,1
1.052414900,0,1,1,0
1.052414916,1,1,1,0
1.052415000,1,0,1,0
1.052415392,1,0,1,1
1.052415530,1,1,1,1
1.052415900,1,1,1,0
1.052416000,1,0,1,0
1.052416892,1,0,1,1
1.052417030,1,1,1,1
1.052417400,1,1,1,0
1.052417500,1,0,1,0
1.052420892,1,0,1,1
1.052421030,1,1,1,1
1.052421400,1,1,1,0
1.052421500,1,0,1,0
1.052421892,1,0,1,1
1.052422030,1,1,1,1
1.054665948,0,1,1,1
1.054666462,1,1,1,1
1.054666948,0,1,1,1
1.054667462,1,1,1,1
1.054667948,0,1,1,1
1.054668462,1,1,1,1
1.054668948,0,1,1,1
1.054669462,1,1,1,1
1.054669948,0,1,1,1
1.054670462,1,1,1,1
1.054670948,0,1,1,1
1.054671462,1,1,1,1
1.054671948,0,1,1,1
1.054673068,0,1,1,0
1.054673166,0,0,1,0
1.054673462,1,0,1,0
1.054673556,1,0,1,1
1.054673696,1,1,1,1
1.054674068,1,1,1,0
1.054674166,1,0,1,0
1.054674448,0,0,1,0
1.054674558,0,0,1,1
1.054674696,0,1,1,1
1.054674962,1,1,1,1
1.054675068,1,1,1,0
1.054675166,1,0,1,0
1.054675558,1,0,1,1
1.054675696,1,1,1,1
1.054675948,0,1,1,1
1.054676068,0,1,1,0
1.054676166,0,0,1,0
1.054676462,1,0,1,0
1.054676558,1,0,1,1
1.054676696,1,1,1,1
1.054677068,1,1,1,0
1.054677166,1,0,1,0
1.054677558,1,0,1,1
1.054677696,1,1,1,1
1.054678068,1,1,1,0
1.054678166,1,0,1,0
1.054678558,1,0,1,1
1.054678696,1,1,1,1
1.054679068,1,1,1,0
1.054679166,1,0,1,0
1.054679448,0,0,1,0
1.054680462,1,0,1,0
1.054680558,1,0,1,1
1.054680698,1,1,1,1
1.054680948,0,1,1,1
